event;round;text
999 ;4 ;"" ;"" ;"" ;
1 ;0 ;"" ;"" ;"" ;
2 ;0 ;"" ;"" ;"" ;
3 ;0 ;"" ;"" ;"" ;
4 ;0 ;"" ;"" ;"" ;
5 ;0 ;"" ;"" ;"" ;
6 ;0 ;"" ;"" ;"" ;
7 ;3 ;"" ;"" ;"" ;
8 ;3 ;"" ;"" ;"" ;
9 ;3 ;"" ;"" ;"" ;
10 ;3 ;"" ;"" ;"" ;
11 ;3 ;"" ;"" ;"" ;
12 ;3 ;"" ;"" ;"" ;
13 ;3 ;"" ;"" ;"" ;
13 ;0 ;"" ;"" ;"" ;
14 ;0 ;"" ;"" ;"" ;
15 ;0 ;"" ;"" ;"" ;
16 ;0 ;"" ;"" ;"" ;
17 ;0 ;"" ;"" ;"" ;
18 ;0 ;"" ;"" ;"" ;
19 ;3 ;"" ;"" ;"" ;
20 ;3 ;"" ;"" ;"" ;
21 ;3 ;"" ;"" ;"" ;
22 ;3 ;"" ;"" ;"" ;
23 ;3 ;"" ;"" ;"" ;
24 ;3 ;"" ;"" ;"" ;
